type typecode name_p address province city area lat lng telephone tag
生活服务;电讯营业厅;中国移动营业厅 070603 中国移动服务站 东安路131号附近 河南省 平顶山市 湛河区 113.336038 33.730252 [] []
医疗保健服务;医药保健销售店;药房 090601 洪善堂大药房 曙光街15号附近 河南省 平顶山市 新华区 113.289190 33.733767 [] []
科教文化服务;学校;幼儿园 141204 蓓蕾幼儿园 泰安路与群英巷交叉口东100米 河南省 平顶山市 宝丰县 113.059440 33.870210 13781879554;13781835403 []
医疗保健服务;医药保健销售店;药房 090601 一心大药房 昆阳大道363号附近 河南省 平顶山市 叶县 113.359428 33.628878 [] []
生活服务;电讯营业厅;中国电信营业厅 070601 中国电信(寄料合作营业厅) 汝鲁路与242省道交叉口东北100米 河南省 平顶山市 汝州市 112.638911 34.063320 [] []
医疗保健服务;综合医院;综合医院 090100 平煤集团公司八矿医院 平安大道东段光华路街道办事处 河南省 平顶山市 卫东区 113.436230 33.750839 [] []
生活服务;洗衣店;洗衣店 071500 常村圣洁干洗店 S330(常村桥) 河南省 平顶山市 叶县 113.120154 33.518376 [] []
科教文化服务;学校;小学 141203 斋公小学 武斋线附近 河南省 平顶山市 汝州市 112.805120 34.050998 [] []
医疗保健服务;医药保健销售店;药房 090601 恩典大药房(刘营店) 任店镇007乡道 河南省 平顶山市 叶县 113.219586 33.583286 13353750345 []
科教文化服务;学校;幼儿园 141204 赵官营育星幼儿园 001乡道北50米 河南省 平顶山市 宝丰县 113.026005 33.959347 15038834577 []
科教文化服务;学校;小学 141203 叶县龚店乡叶寨小学 [] 河南省 平顶山市 叶县 113.415917 33.674165 [] []
医疗保健服务;医药保健销售店;药房 090601 惠仁大药房 马记饭店西隔壁 河南省 平顶山市 叶县 113.371771 33.607849 17737555095;0375-6116663 []
医疗保健服务;医药保健销售店;药房 090601 万聚堂中医院煎药房 北大街与文化路交叉口西南150米中共叶县县委党校附近 河南省 平顶山市 叶县 113.351281 33.623681 [] []
生活服务;洗衣店;洗衣店 071500 红美染衣干洗(郏县店) [] 河南省 平顶山市 郏县 113.235065 33.974924 13781840533 []
生活服务;洗衣店;洗衣店 071500 赛维洗衣 经二路北段-18号 河南省 平顶山市 郏县 113.226299 33.974787 [] []
科教文化服务;学校;小学 141203 高庙小学 寄料镇高庙村 河南省 平顶山市 汝州市 112.638621 34.066453 [] []
医疗保健服务;医药保健销售店;药房 090601 天然中草药 向阳路与西关大街交叉口西150米 河南省 平顶山市 鲁山县 112.901903 33.738666 [] []
医疗保健服务;医药保健销售店;药房 090601 医圣村林家膏药铺 G311(徐峡线) 河南省 平顶山市 鲁山县 113.107233 33.667559 [] []
科教文化服务;学校;小学 141203 汝州市庙下镇春店小学 庙下镇春店村 河南省 平顶山市 汝州市 112.752412 34.193295 [] []
