type typecode name_p address province city area lat lng telephone tag
风景名胜;风景名胜相关;旅游景点 110000 蒲城店遗址 东高皇乡建设路附近 河南省 平顶山市 卫东区 113.440227 33.730042 [] []
风景名胜;风景名胜;风景名胜 110200 祥龙谷景区 南部杨庄境内 河南省 平顶山市 舞钢市 113.508040 33.192802 0375-8301555 []
风景名胜;风景名胜;寺庙道观 110205 香严寺 s83兰南高速 河南省 平顶山市 叶县 113.509061 33.671623 [] []
风景名胜;风景名胜;回教寺 110207 清真寺 北大街与衙后街交叉口西北50米 河南省 平顶山市 郏县 113.215124 33.975033 [] []
风景名胜;风景名胜;教堂 110206 基督教堂 311国道与G311交叉口西北100米 河南省 平顶山市 鲁山县 112.397834 33.748704 [] []
风景名胜;公园广场;城市广场 110105 河滨广场 南环路中段77号 河南省 平顶山市 湛河区 113.295545 33.722833 [] []
风景名胜;风景名胜;寺庙道观 110205 二郎庙 311国道北100米 河南省 平顶山市 鲁山县 112.389102 33.751231 [] []
风景名胜;公园广场;公园 110101 八一公园 人民路东段三中对面的 河南省 平顶山市 宝丰县 113.089448 33.864158 [] []
风景名胜;风景名胜;寺庙道观 110205 文殊寺 四棵树乡 河南省 平顶山市 鲁山县 112.522302 33.670075 [] []
风景名胜;风景名胜;风景名胜 110200 九龙山景区 庙街乡红石崖焦桐高速公路西450米 河南省 平顶山市 舞钢市 113.430066 33.327137 [] []
风景名胜;风景名胜;风景名胜 110200 五峰山景区 [] 河南省 平顶山市 舞钢市 113.492068 33.176108 [] []
风景名胜;风景名胜;风景名胜 110200 金牛山风景石榴园 北环路金牛山 河南省 平顶山市 卫东区 113.374422 33.779374 [] []
风景名胜;公园广场;公园 110101 河滨公园 光明路南段翡翠路(平顶山市绿化管理处东北) 河南省 平顶山市 湛河区 113.299786 33.724604 [] []
风景名胜;风景名胜;寺庙道观 110205 自在庵 庵(汝州市烈士陵园西南100米) 河南省 平顶山市 汝州市 112.897459 34.222780 [] []
风景名胜;风景名胜;教堂 110206 基督教堂 242省道西50米 河南省 平顶山市 汝州市 112.661697 34.083036 [] []
风景名胜;风景名胜;教堂 110206 基督教堂 [] 河南省 平顶山市 舞钢市 113.684074 33.404474 [] []
风景名胜;风景名胜;风景名胜 110200 石漫滩国家水利风景区 龙泉路南50米 河南省 平顶山市 舞钢市 113.556203 33.282079 [] []
风景名胜;风景名胜;寺庙道观 110205 泰正庙 老城大街118号泰山庙附近 河南省 平顶山市 鲁山县 112.915745 33.737035 [] []
风景名胜;风景名胜;寺庙道观 110205 文殊寺 207国道西100米 河南省 平顶山市 鲁山县 112.801659 33.840039 [] []
风景名胜;风景名胜;风景名胜 110200 十八垛原始森林景区 尧山镇桃林村 河南省 平顶山市 鲁山县 112.360323 33.799276 [] []
风景名胜;风景名胜;寺庙道观 110205 龙王庙 [] 河南省 平顶山市 鲁山县 112.415274 33.769920 [] []
风景名胜;风景名胜;寺庙道观 110205 玉皇庙 010乡道附近 河南省 平顶山市 鲁山县 112.600101 33.821170 [] []
