type typecode name_p address province city area lat lng telephone tag
交通设施服务;公交车站;公交车站相关 150700 中原商场(公交站) 7路;8路;15路;19路;42路内环;42路外环 河南省 平顶山市 卫东区 113.309509 33.739399 [] []
交通设施服务;公交车站;公交车站相关 150700 建体路口(公交站) 32路 河南省 平顶山市 新华区 113.303123 33.738434 [] []
交通设施服务;公交车站;公交车站相关 150700 湛河公园(公交站) 1路;11路;16路;24路;32路;38路;67路;616路夜班;Y602路;Y616路 河南省 平顶山市 湛河区 113.306236 33.730381 [] []
交通设施服务;公交车站;公交车站相关 150700 中原银行(公交站) 1路;2路;3路;4路;11路;14路;20路;24路;31路;32路;67路;601路夜班;603路夜班;Y602路 河南省 平顶山市 湛河区 113.305313 33.730278 [] []
交通设施服务;公交车站;公交车站相关 150700 平顶山饭店(公交站) 6路;29路;30路;30路区间;66路;67路;89路;666路 河南省 平顶山市 新华区 113.301201 33.737122 [] []
交通设施服务;公交车站;公交车站相关 150700 建劳路口(公交站) 9路;11路;14路;30路;30路区间;36路;89路;600路;600路夜班空调 河南省 平顶山市 卫东区 113.314476 33.735985 [] []
交通设施服务;公交车站;公交车站相关 150700 湛劳路口(公交站) 16路;38路;616路夜班;Y616路 河南省 平顶山市 湛河区 113.311928 33.730057 [] []
交通设施服务;公交车站;公交车站相关 150700 湛河宾馆(公交站) 15路 河南省 平顶山市 新华区 113.300789 33.732571 [] []
交通设施服务;公交车站;公交车站相关 150700 工人文化宫(公交站) 32路 河南省 平顶山市 新华区 113.303413 33.741035 [] []
交通设施服务;公交车站;公交车站相关 150700 公园北街(公交站) 16路;38路;616路夜班;Y616路 河南省 平顶山市 湛河区 113.301147 33.730591 [] []
交通设施服务;公交车站;公交车站相关 150700 中医院(公交站) 24路 河南省 平顶山市 新华区 113.306755 33.742554 [] []
交通设施服务;公交车站;公交车站相关 150700 万家(公交站) 600路夜班空调 河南省 平顶山市 新华区 113.306747 33.743046 [] []
交通设施服务;公交车站;公交车站相关 150700 矿开路口(公交站) 7路;8路;19路;42路外环 河南省 平顶山市 卫东区 113.309753 33.742847 [] []
交通设施服务;公交车站;公交车站相关 150700 启蒙路口(公交站) 34路;38路 河南省 平顶山市 新华区 113.298332 33.734657 [] []
交通设施服务;公交车站;公交车站相关 150700 市中医院(公交站) 1路;2路;3路;4路;6路;20路;24路;31路;36路;66路;600路;601路夜班;603路夜班;666路;Y602路 河南省 平顶山市 新华区 113.306770 33.743237 [] []
交通设施服务;公交车站;公交车站相关 150700 平高社区北门(公交站) 10路 河南省 平顶山市 湛河区 113.310814 33.727638 [] []
交通设施服务;公交车站;公交车站相关 150700 开矿路口(公交站) 42路内环 河南省 平顶山市 卫东区 113.309837 33.743793 [] []
交通设施服务;公交车站;公交车站相关 150700 平顶山宾馆(公交站) 28路;34路 河南省 平顶山市 新华区 113.298279 33.739216 [] []
交通设施服务;公交车站;公交车站相关 150700 市委家属院(公交站) 6路;29路;30路;30路区间;38路;66路;67路;89路;666路 河南省 平顶山市 新华区 113.297188 33.737419 [] []
交通设施服务;公交车站;公交车站相关 150700 矿体路口(公交站) 32路 河南省 平顶山市 新华区 113.303726 33.743855 [] []
交通设施服务;公交车站;公交车站相关 150700 育才幼儿园(公交站) 15路;38路 河南省 平顶山市 新华区 113.297356 33.731979 [] []
交通设施服务;公交车站;公交车站相关 150700 中心广场(公交站) 7路;23路;600路夜班空调 河南省 平顶山市 新华区 113.308517 33.744518 [] []
交通设施服务;公交车站;公交车站相关 150700 平顶山商场(公交站) 2路;3路;4路;6路;8路;17路;20路;26路;28路;31路;33路;34路;36路;39路;40路;66路;68路;617路;666路;668路夜班;Y602路 河南省 平顶山市 新华区 113.308746 33.744495 [] []
交通设施服务;公交车站;公交车站相关 150700 一五二医院(公交站) 9路;11路;14路;30路;30路区间;36路;89路;600路 河南省 平顶山市 卫东区 113.318939 33.735653 [] []
交通设施服务;公交车站;公交车站相关 150700 平高社区西门(公交站) 7路;8路;9路;10路;19路;29路;42路内环;42路外环 河南省 平顶山市 湛河区 113.307915 33.725815 [] []
交通设施服务;公交车站;公交车站相关 150700 凯撒广场(公交站) 1路;7路;8路;18路;23路;24路;26路;28路;33路;34路;39路;40路;68路;600路;618路 河南省 平顶山市 新华区 113.305466 33.744709 [] []
交通设施服务;公交车站;公交车站相关 150700 152医院(公交站) 600路夜班空调 河南省 平顶山市 卫东区 113.319554 33.735708 [] []
交通设施服务;公交车站;公交车站相关 150700 人民电影院(公交站) 2路;3路;4路;6路;12路;17路;18路;19路;20路;23路;26路;28路;31路;33路;34路;36路;39路;40路;68路;603路夜班;617路;618路;666路;668路夜班;Y602路 河南省 平顶山市 卫东区 113.312851 33.744148 [] []
交通设施服务;公交车站;公交车站相关 150700 第一人民医院(公交站) 15路 河南省 平顶山市 卫东区 113.317413 33.741066 [] []
交通设施服务;公交车站;公交车站相关 150700 第二人民医院(公交站) 15路;34路 河南省 平顶山市 新华区 113.295746 33.732956 [] []
交通设施服务;公交车站;公交车站相关 150700 客运中心站(公交站) 2路;11路;603路夜班 河南省 平顶山市 湛河区 113.304703 33.724949 [] []
交通设施服务;公交车站;公交车站相关 150700 市客运中心站(公交站) 市客运中心站-齐务村 河南省 平顶山市 湛河区 113.304756 33.724823 [] []
交通设施服务;公交车站;公交车站相关 150700 五一路口(公交站) 12路;42路内环;42路外环;66路 河南省 平顶山市 卫东区 113.310066 33.745892 [] []
交通设施服务;公交车站;公交车站相关 150700 五一路(公交站) 12路 河南省 平顶山市 卫东区 113.310066 33.745903 [] []
交通设施服务;公交车站;公交车站相关 150700 联盟路口(公交站) 28路;34路 河南省 平顶山市 新华区 113.298210 33.743633 [] []
交通设施服务;公交车站;公交车站相关 150700 矿工俱乐部(公交站) 32路 河南省 平顶山市 新华区 113.304031 33.746372 [] []
交通设施服务;公交车站;公交车站相关 150700 平煤总医院(公交站) 1路;7路;8路;17路;18路;23路;24路;26路;28路;33路;34路;39路;40路;68路;600路;600路夜班空调;601路夜班;617路;618路;668路夜班 河南省 平顶山市 新华区 113.300400 33.745098 [] []
交通设施服务;公交车站;公交车站相关 150700 总医院(公交站) 市长途汽车站-宝丰县长途汽车站 河南省 平顶山市 新华区 113.300072 33.745117 [] []
交通设施服务;公交车站;公交车站相关 150700 曙光路口(公交站) 28路;34路 河南省 平顶山市 新华区 113.293549 33.733120 [] []
交通设施服务;公交车站;公交车站相关 150700 湛新路口(公交站) 10路;16路;36路;38路;616路夜班;Y616路 河南省 平顶山市 湛河区 113.320366 33.729588 [] []
交通设施服务;公交车站;公交车站相关 150700 医药公司(公交站) 2路;3路;4路;6路;12路;15路;17路;18路;19路;20路;23路;26路;28路;31路;33路;34路;36路;39路;40路;68路;603路夜班;617路;618路;666路;668路夜班;Y602路 河南省 平顶山市 卫东区 113.317917 33.743690 [] []
交通设施服务;公交车站;公交车站相关 150700 建新路口(公交站) 17路;36路;617路;618路 河南省 平顶山市 卫东区 113.322166 33.734089 [] []
交通设施服务;公交车站;公交车站相关 150700 新建路口(公交站) 18路;89路 河南省 平顶山市 卫东区 113.322205 33.733807 [] []
交通设施服务;公交车站;公交车站相关 150700 雷锋小学(公交站) 9路;17路;18路;40路;617路;618路 河南省 平顶山市 卫东区 113.322380 33.737003 [] []
交通设施服务;公交车站;公交车站相关 150700 湛河区政府(公交站) 6路;17路;18路;23路;27路;617路;618路 河南省 平顶山市 新华区 113.292915 33.736160 [] []
交通设施服务;公交车站;公交车站相关 150700 市委党校(公交站) 28路;34路 河南省 平顶山市 新华区 113.295578 33.742844 [] []
交通设施服务;公交车站;公交车站相关 150700 新华区医院(公交站) 17路;18路;23路;26路;618路 河南省 平顶山市 新华区 113.293198 33.738815 [] []
交通设施服务;公交车站;公交车站相关 150700 市交警支队(公交站) 17路;18路;36路;89路;617路;618路 河南省 平顶山市 湛河区 113.321907 33.730473 [] []
交通设施服务;公交车站;公交车站相关 150700 光明路口(公交站) 15路;16路;616路夜班;Y616路 河南省 平顶山市 新华区 113.293053 33.731117 [] []
交通设施服务;公交车站;公交车站相关 150700 光曙路口(公交站) 6路;15路;17路;18路;23路;27路;617路;618路 河南省 平顶山市 新华区 113.292519 33.732735 [] []
交通设施服务;公交车站;公交车站相关 150700 新华路口(公交站) 2路;3路;4路;6路;12路;15路;17路;18路;19路;20路;23路;26路;28路;31路;33路;34路;36路;39路;40路;68路;603路夜班;617路;618路;666路;668路夜班;Y602路 河南省 平顶山市 卫东区 113.320625 33.742970 [] []
交通设施服务;公交车站;公交车站相关 150700 新华路优越路(公交站) 617路;618路 河南省 平顶山市 卫东区 113.322601 33.740200 [] []
交通设施服务;公交车站;公交车站相关 150700 新优路口(公交站) 9路;15路;17路;18路;40路 河南省 平顶山市 卫东区 113.322617 33.740208 [] []
交通设施服务;公交车站;公交车站相关 150700 人民商场(公交站) 11路;14路;30路;30路区间;40路;600路;600路夜班空调 河南省 平顶山市 卫东区 113.324409 33.735325 [] []
交通设施服务;公交车站;公交车站相关 150700 供电局俱乐部(公交站) 36路;617路;618路 河南省 平顶山市 湛河区 113.321754 33.727440 [] []
交通设施服务;公交车站;公交车站相关 150700 一矿口(公交站) 12路;35路;66路 河南省 平顶山市 卫东区 113.312622 33.748894 [] []
交通设施服务;公交车站;公交车站相关 150700 卫东区国税局(公交站) 16路 河南省 平顶山市 湛河区 113.323471 33.729362 [] []
交通设施服务;公交车站;公交车站相关 150700 光联路口(公交站) 17路;18路;23路;26路;617路;618路 河南省 平顶山市 新华区 113.293610 33.743481 [] []
交通设施服务;公交车站;公交车站相关 150700 光园路口(公交站) 28路;34路 河南省 平顶山市 新华区 113.292343 33.742092 [] []
交通设施服务;公交车站;公交车站相关 150700 二矿口(公交站) 35路;42路内环;42路外环 河南省 平顶山市 新华区 113.307449 33.749668 [] []
交通设施服务;公交车站;公交车站相关 150700 平煤中心站(公交站) 32路;35路;42路内环;42路外环 河南省 平顶山市 新华区 113.303345 33.749397 [] []
交通设施服务;公交车站;公交车站相关 150700 市十三中(公交站) 7路;8路;9路;10路;19路;29路;42路内环;42路外环 河南省 平顶山市 湛河区 113.307358 33.720383 [] []
