type typecode name_p address province city area lat lng telephone tag
体育休闲服务;娱乐场所;KTV 080302 星公馆KTV(光明路) 光明路与建设路交叉口南300米路西 河南省 平顶山市 新华区 113.292449 33.734614 0375-7200000;0375-7100000 []
体育休闲服务;休闲场所;休闲场所 080500 仁合农家院 湖滨路北50米 河南省 平顶山市 新华区 113.209806 33.740789 13623753345;13525371113 []
体育休闲服务;娱乐场所;酒吧|餐饮服务;冷饮店;冷饮店 080304|050700 駅休闲驿站 朝阳路与锦绣街交叉口东100米 河南省 平顶山市 新华区 113.299427 33.739144 [] []
体育休闲服务;娱乐场所;网吧 080308 可爱国际网络会所 公园北街16号院附近 河南省 平顶山市 新华区 113.300703 33.738499 [] []
体育休闲服务;娱乐场所;夜总会 080301 一江春水(光明路店) 光明路与联盟路交叉口向南50米路东 河南省 平顶山市 新华区 113.293764 33.742497 0375-3277888 []
体育休闲服务;休闲场所;休闲场所 080500 暮之狐休闲吧(和平路步行街) 中兴路与和平路步行街交叉口东20米路北(中心商城北门商贸北苑红颜对面胡同内) 河南省 平顶山市 新华区 113.307645 33.741038 13393765320 []
体育休闲服务;运动场馆;游泳馆 080110 姚电社区游泳馆 姚电大道南200米 河南省 平顶山市 湛河区 113.253642 33.731787 [] []
体育休闲服务;娱乐场所;网吧 080308 网缘网吧(新华路) 新华路矿工路北200米 河南省 平顶山市 卫东区 113.324752 33.744956 [] []
体育休闲服务;娱乐场所;网吧 080308 天宇网吧(水库路) 水库路南50米 河南省 平顶山市 湛河区 113.289191 33.709054 [] []
体育休闲服务;休闲场所;休闲场所 080500 平顶山市老干部活动中心(和平路) 公园北街与锦绣街交叉口北200米 河南省 平顶山市 新华区 113.299985 33.740930 [] []
体育休闲服务;高尔夫相关;高尔夫练习场 080202 金澜高尔夫庄园 新华路北段山顶公园台阶处向东200米 河南省 平顶山市 卫东区 113.331335 33.769535 [] []
体育休闲服务;娱乐场所;KTV 080302 酷歌纯K PARTY 建设路与凌云路交叉口向北88米西侧 河南省 平顶山市 新华区 113.280639 33.741927 0375-4818888;0375-4817777 []
体育休闲服务;娱乐场所;网吧 080308 同心网吧(西苑东路) 西苑东路与西苑路交叉口北50米 河南省 平顶山市 湛河区 113.285763 33.726438 0375-7989269 []
