type typecode name_p address province city area lat lng telephone tag
住宿服务;宾馆酒店;宾馆酒店 100100 电力宾馆(迎宾大道) 迎宾大道38号院 河南省 平顶山市 宝丰县 113.073590 33.859886 0375-6580888;0375-6580999 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 尚客优精选酒店(平顶山老汽车站店) 矿工路中段老汽车站向东30米路北 河南省 平顶山市 卫东区 113.327389 33.740703 0375-2376777 []
住宿服务;宾馆酒店;五星级宾馆 100102 地中海假日酒店 湛河北路与凌云路交汇处 河南省 平顶山市 湛河区 113.281848 33.733397 [] []
住宿服务;宾馆酒店;宾馆酒店 100100 天润大酒店(体育路) 平顶山体育路与平安大道交叉口正北 河南省 平顶山市 新华区 113.304444 33.750280 0375-2869800;0375-2869866 []
住宿服务;宾馆酒店;宾馆酒店 100100 叶县宾馆 九龙路1号 河南省 平顶山市 叶县 113.358714 33.626734 0375-8058168;0375-8097168 []
住宿服务;宾馆酒店;四星级宾馆 100103 天瑞饭店 广成东路59号 河南省 平顶山市 汝州市 112.859383 34.168007 0375-6056800 []
住宿服务;宾馆酒店;三星级宾馆 100104 湛河大酒店(火车站店) 中兴路与湛河桥交叉口北10米路东(近汽车站、火车站) 河南省 平顶山市 湛河区 113.305217 33.728256 0375-4919222;0375-4919111 []
住宿服务;旅馆招待所;旅馆招待所 100200 客溢居 启蒙路12号院425号(金盾医院南400米路东) 河南省 平顶山市 新华区 113.281853 33.736276 13323757622 []
住宿服务;宾馆酒店;三星级宾馆 100104 宝丰迎宾馆 南二环东段 河南省 平顶山市 宝丰县 113.084856 33.848099 0375-6139816;0375-6139800 []
住宿服务;宾馆酒店;宾馆酒店 100100 帝景快捷酒店 建设路826-附14 河南省 平顶山市 卫东区 113.352124 33.733920 0375-2307666;0375-7383222 []
住宿服务;宾馆酒店;宾馆酒店 100100 方圆商务宾馆(长青路) 建设路鹰城文化广场西侧 河南省 平顶山市 新华区 113.286307 33.739135 0375-4973333;0375-4973366 []
住宿服务;旅馆招待所;旅馆招待所 100200 新安客栈 新华路与矿工路交叉口北200米路西 河南省 平顶山市 卫东区 113.323539 33.743637 0375-7017667;13939966695 []
住宿服务;宾馆酒店;宾馆酒店 100100 雀知巢酒店 光明路54号 河南省 平顶山市 新华区 113.293642 33.739521 0375-7398888;0375-7398999 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 雀之巢酒店(平安店) 市平安大道和体育路交叉口西南角 河南省 平顶山市 新华区 113.304153 33.749170 0375-2291666;0375-2291999;18603742015 []
住宿服务;宾馆酒店;宾馆酒店 100100 平顶山未来精品酒店 联盟路129号 河南省 平顶山市 新华区 113.296180 33.742628 0375-2360000;13783248223 []
住宿服务;宾馆酒店;宾馆酒店 100100 蓬升宾馆(春华·国际茗都西北) 建设路西段温集公交站西侧30米路北 河南省 平顶山市 湛河区 113.258011 33.746017 13783233705;13569579750 []
住宿服务;宾馆酒店;宾馆酒店 100100 昆仑乐居商务酒店(平顶山汝州火车站店) 西环路707号 河南省 平顶山市 汝州市 112.832346 34.179153 0375-6860666;4006656999 []
住宿服务;宾馆酒店;宾馆酒店 100100 石油宾馆(墨公路) 旅游局 河南省 平顶山市 鲁山县 112.909990 33.746825 0375-5891669;0375-5666696 []
住宿服务;旅馆招待所;旅馆招待所 100200 金华快捷宾馆(开源路) 曙光街与开源路交叉口向南200米路西 河南省 平顶山市 新华区 113.308377 33.731885 15903909269;18937509682 []
住宿服务;宾馆酒店;宾馆酒店 100100 鹰之城快捷宾馆 湛南路与茂源街交叉口向南10米路东 河南省 平顶山市 湛河区 113.316825 33.726688 0375-2338999 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 e家快捷酒店(丹阳东路店) 丹阳东路265号(丹阳东路与东环路交叉口转盘西南角) 河南省 平顶山市 汝州市 112.864482 34.161797 0375-7320888 []
住宿服务;宾馆酒店;宾馆酒店 100100 金鹰阁宾馆 矿工路178附1号 河南省 平顶山市 卫东区 113.319539 33.743589 0375-3813888 []
住宿服务;宾馆酒店;宾馆酒店 100100 豆腐王大酒店(平顶山旗舰店) 矿工路95号鸿翔社区中院 河南省 平顶山市 卫东区 113.339234 33.740767 0375-3892666;0375-3935777 []
住宿服务;宾馆酒店;宾馆酒店 100100 凌云商务宾馆(凌云路) 建设路与凌云路交汇处西北角 河南省 平顶山市 新华区 113.280761 33.739311 0375-8998888 []
住宿服务;宾馆酒店;宾馆酒店 100100 汝河宾馆 洗耳中路341号 河南省 平顶山市 汝州市 112.840890 34.171513 0375-6886667 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 尚客优快捷酒店(河南汝州店) 风穴路北(市电视台对面) 河南省 平顶山市 汝州市 112.849112 34.177820 0375-6955666;0375-6907777 []
住宿服务;宾馆酒店;经济型连锁酒店 100105 尚客优快捷酒店(平顶山店) 中兴路6号 河南省 平顶山市 湛河区 113.304544 33.721112 0375-6193888 []
住宿服务;宾馆酒店;宾馆酒店 100100 丽景假日酒店(迎宾大道) 迎宾大道与龙兴中路交叉口新东方生活广场旁 河南省 平顶山市 宝丰县 113.060319 33.861107 0375-6389999;0375-6388888 []
住宿服务;宾馆酒店;宾馆酒店 100100 中心快捷宾馆(和平路步行街) 和平路步行街中段小吃一条街口路南(近中兴路) 河南省 平顶山市 新华区 113.307858 33.740138 13837539277 []
住宿服务;宾馆酒店;三星级宾馆 100104 天瑞温泉大酒店 赵村乡上汤村(毗邻311国道) 河南省 平顶山市 鲁山县 112.464739 33.757887 0375-5767320 []
住宿服务;旅馆招待所;旅馆招待所 100200 吉祥旅社(楝香街) 矿工路157附1号 河南省 平顶山市 卫东区 113.326195 33.740541 0375-7185718 []
住宿服务;宾馆酒店;宾馆酒店 100100 鲁山迎宾馆 人民路中段 河南省 平顶山市 鲁山县 112.903162 33.745249 0375-7378888;0375-7371888 []
住宿服务;宾馆酒店;三星级宾馆 100104 凤凰愉家酒店 石漫滩大道西段路南侧(龙湖佳苑对面) 河南省 平顶山市 舞钢市 113.506017 33.280901 0375-7231666 []
住宿服务;宾馆酒店;宾馆酒店 100100 曙光宾馆(曙光街店) 平顶山长青路28号(曙光路与长青路交叉口) 河南省 平顶山市 新华区 113.293604 33.732928 0375-7298888;0375-7298816;13393767668 []
住宿服务;宾馆酒店;宾馆酒店 100100 博泰宾馆(体育路)(装修中) 建设路与体育路交汇处 河南省 平顶山市 新华区 113.303317 33.737845 0375-2988811;0375-3389966 []
住宿服务;宾馆酒店;四星级宾馆 100103 飞行皇冠假日酒店 光明路与南环路交叉口北50米 河南省 平顶山市 湛河区 113.290867 33.723237 0375-8881800;0375-8888888 []
住宿服务;宾馆酒店;三星级宾馆 100104 金鼎商务酒店(广成中路店) 广成中路150号(广成路与风穴路交叉口) 河南省 平顶山市 汝州市 112.847105 34.172651 0375-6099998;0375-6603333;0375-6099999 []
住宿服务;宾馆酒店;宾馆酒店 100100 水上漂酒店 广成中路361号 河南省 平顶山市 汝州市 112.838874 34.174213 0375-6863025 []
住宿服务;住宿服务相关;住宿服务相关 100000 尚客优酒店(舞钢市朱兰建设路店) 朱兰建设路与干休路交叉口路北50米 河南省 平顶山市 舞钢市 113.536707 33.332896 0375-8138666 []
住宿服务;宾馆酒店;宾馆酒店 100100 岚城宾馆 墨公路与北环路交叉口向南300米路东 河南省 平顶山市 鲁山县 112.909213 33.752244 0375-7178867;0375-3373677 []
住宿服务;宾馆酒店;宾馆酒店 100100 盼盼硅藻泥主题宾馆 开源路87号(平顶山汽车站南,鹰翔路中段) 河南省 平顶山市 湛河区 113.306625 33.724113 0375-2393999;0375-2393888 []
住宿服务;宾馆酒店;宾馆酒店 100100 喜来登大酒店(新华路) 新华路与南环路交叉口东北 河南省 平顶山市 湛河区 113.322003 33.721039 0375-3888108 []
住宿服务;宾馆酒店;三星级宾馆 100104 鑫居体育村商务酒店 建设路东段体育村院内 河南省 平顶山市 卫东区 113.339910 33.731237 0375-8868888;0375-2165666 []
住宿服务;宾馆酒店;宾馆酒店 100100 昆仑乐居商务酒店(汝州市标店) 城垣路和广成路口(距市标100米) 河南省 平顶山市 汝州市 112.854898 34.170338 0375-6890999;0375-6690999 []
住宿服务;宾馆酒店;宾馆酒店 100100 帕拉蒂奥艺术酒店 平安大道西段陆顺建材城1号门东30米路南 河南省 平顶山市 新华区 113.260951 33.761500 0375-2382888;0375-2387888 []
住宿服务;宾馆酒店;宾馆酒店 100100 天逅主题酒店 华府商务中心17层 河南省 平顶山市 新华区 113.307233 33.744830 0375-3050000 []
住宿服务;宾馆酒店;宾馆酒店 100100 美宜家时尚酒店(汝州丹阳路店) 丹阳路与幸福巷交叉口 河南省 平顶山市 汝州市 112.857054 34.163599 0375-6888199;0375-6731888 []
住宿服务;宾馆酒店;宾馆酒店 100100 博海商务宾馆 建设路与新华路交叉口向东南角(人民商场对面神马俱乐部东配楼) 河南省 平顶山市 卫东区 113.323208 33.734789 0375-7666888;0375-7667777 []
住宿服务;宾馆酒店;宾馆酒店 100100 新金源宾馆 光明路南段187号(湛区检查院北汽车运输公司楼上) 河南省 平顶山市 湛河区 113.291593 33.720671 0375-2235777;17703901973 []
住宿服务;宾馆酒店;宾馆酒店 100100 颐蓝酒店 凌云路与园林路交叉口向西200米路南 河南省 平顶山市 新华区 113.278564 33.742394 0375-2372222 []
住宿服务;旅馆招待所;旅馆招待所 100200 新源招待所 矿工路中段(人民电影院西38米) 河南省 平顶山市 卫东区 113.313011 33.744250 15886758864 []
住宿服务;宾馆酒店;宾馆酒店 100100 怡和宾馆 曙光街与荟芠街交叉处向北200米 河南省 平顶山市 新华区 113.290525 33.735953 0375-2211766;0375-2211788 []
